customer_id,age,gender,signup_date,tenure_days,recency_days,frequency,monetary,avg_order_value,num_categories_purchased,num_returns,return_rate,support_tickets,avg_satisfaction_score,email_open_rate,discount_usage_rate,preferred_channel,loyalty_member,churned
CUST-100000,23,Female,2023-01-29,1249,1,4,182.38,52.42,3,1,0.25,5,1.3,0.079,0.728,Mobile App,1,0
CUST-100001,62,Female,2021-12-11,1663,39,25,2160.64,94.37,5,1,0.04,1,4.0,0.886,0.13,In-Store,0,0
CUST-100002,55,Female,2022-12-18,1291,4,14,278.35,22.33,1,4,0.286,4,2.9,0.609,0.347,Mobile App,0,0
CUST-100003,43,Female,2023-03-19,1200,3,22,1629.71,77.7,2,1,0.045,1,3.5,0.893,0.063,Mobile App,0,0
CUST-100004,42,Male,2023-11-24,950,129,5,217.89,48.11,2,0,0.0,1,3.2,0.346,0.284,Mobile App,1,1
CUST-100005,66,Female,2025-02-04,512,83,5,83.75,18.54,2,1,0.2,1,3.0,0.45,0.245,Website,1,0
CUST-100006,22,Male,2024-11-25,583,3,7,608.25,83.21,4,0,0.0,2,3.1,0.717,0.481,Mobile App,0,0
CUST-100007,57,Female,2022-05-25,1498,61,10,770.87,68.06,8,3,0.3,0,2.5,0.515,0.233,Website,0,0
CUST-100008,29,Male,2026-01-15,167,33,10,287.71,33.7,4,3,0.3,1,3.0,0.564,0.026,Mobile App,1,0
CUST-100009,23,Female,2025-12-17,196,9,12,893.07,70.1,3,2,0.167,3,2.9,0.421,0.501,Mobile App,1,0
CUST-100010,48,Male,2024-04-11,811,7,15,362.58,23.07,5,1,0.067,0,3.5,0.667,0.202,Mobile App,0,0
CUST-100011,73,Male,2022-03-29,1555,64,8,317.5,38.7,2,7,0.875,3,3.5,0.598,0.173,Website,0,0
CUST-100012,59,Female,2022-11-15,1324,17,7,383.37,51.78,4,1,0.143,2,1.1,0.377,0.615,Mobile App,1,0
CUST-100013,61,Male,2023-03-27,1192,44,11,556.95,50.5,6,2,0.182,2,3.0,0.509,0.063,In-Store,0,0
CUST-100014,58,Female,2023-07-15,1082,46,17,1208.17,63.0,6,4,0.235,0,4.2,0.511,0.075,Mobile App,1,0
CUST-100015,62,Female,2025-10-26,248,9,17,2019.71,132.38,5,1,0.059,0,3.7,0.624,0.158,In-Store,0,0
CUST-100016,47,Male,2024-08-17,683,46,5,149.21,30.08,3,2,0.4,1,3.4,0.599,0.242,Mobile App,0,1
CUST-100017,25,Male,2025-12-27,186,229,10,592.2,56.62,5,2,0.2,2,1.7,0.167,0.231,Website,0,1
CUST-100018,65,Female,2022-04-30,1523,2,19,1223.46,57.36,6,3,0.158,0,4.2,0.563,0.0,Mobile App,1,0
CUST-100019,43,Female,2022-05-14,1509,4,9,780.23,87.02,5,1,0.111,1,3.0,0.455,0.256,Mobile App,0,0
CUST-100020,46,Male,2025-01-09,538,35,16,920.7,50.34,4,1,0.062,1,4.2,0.625,0.056,Website,0,0
CUST-100021,39,Male,2024-11-01,607,15,9,196.27,20.83,1,0,0.0,3,3.2,0.54,0.344,Mobile App,1,0
